p_id,p_name,p_college,p_college,country,p_id,p_height
5822,Patty Mills                                                                                                                                                                                                                                                     ,Saint Mary's (CA)                                                                                                                                                                                                                                               ,Saint Mary's (CA)                                                                                                                                                                                                                                               ,Australia                                                                                                                                                                                                                                                       ,5822,182
5891,Trey Gilder                                                                                                                                                                                                                                                     ,Northwestern State                                                                                                                                                                                                                                              ,Northwestern State                                                                                                                                                                                                                                              ,USA                                                                                                                                                                                                                                                             ,5891,205
5906,Lester Hudson                                                                                                                                                                                                                                                   ,Tennessee-Martin                                                                                                                                                                                                                                                ,Tennessee-Martin                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,5906,190
6018,Cedric Jackson                                                                                                                                                                                                                                                  ,Cleveland State                                                                                                                                                                                                                                                 ,Cleveland State                                                                                                                                                                                                                                                 ,USA                                                                                                                                                                                                                                                             ,6018,190
6220,Eric Maynor                                                                                                                                                                                                                                                     ,Virginia Commonwealth                                                                                                                                                                                                                                           ,Virginia Commonwealth                                                                                                                                                                                                                                           ,USA                                                                                                                                                                                                                                                             ,6220,190
6310,Kevin Seraphin                                                                                                                                                                                                                                                  ,Le Moyne                                                                                                                                                                                                                                                        ,Le Moyne                                                                                                                                                                                                                                                        ,France                                                                                                                                                                                                                                                          ,6310,205
6417,Pooh Jeter                                                                                                                                                                                                                                                      ,Portland                                                                                                                                                                                                                                                        ,Portland                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,6417,180
6603,Jeremy Lin                                                                                                                                                                                                                                                      ,Harvard                                                                                                                                                                                                                                                         ,Harvard                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,6603,190
6624,Gordon Hayward                                                                                                                                                                                                                                                  ,Butler                                                                                                                                                                                                                                                          ,Butler                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,6624,203
6658,Gary Neal                                                                                                                                                                                                                                                       ,Towson                                                                                                                                                                                                                                                          ,Towson                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,6658,193
6661,Garret Siler                                                                                                                                                                                                                                                    ,Augusta State                                                                                                                                                                                                                                                   ,Augusta State                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,6661,210
6826,Ivan Johnson                                                                                                                                                                                                                                                    ,Cal State-San Bernardino                                                                                                                                                                                                                                        ,Cal State-San Bernardino                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,6826,203
6835,Eric Dawson                                                                                                                                                                                                                                                     ,Midwestern State                                                                                                                                                                                                                                                ,Midwestern State                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,6835,205
6868,Edwin Ubiles                                                                                                                                                                                                                                                    ,Siena                                                                                                                                                                                                                                                           ,Siena                                                                                                                                                                                                                                                           ,Puerto Rico                                                                                                                                                                                                                                                     ,6868,198
6973,Walker Russell                                                                                                                                                                                                                                                  ,Jacksonville State                                                                                                                                                                                                                                              ,Jacksonville State                                                                                                                                                                                                                                              ,USA                                                                                                                                                                                                                                                             ,6973,182
7056,Jeff Foote                                                                                                                                                                                                                                                      ,Cornell                                                                                                                                                                                                                                                         ,Cornell                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,7056,213
7120,Mickell Gladness                                                                                                                                                                                                                                                ,Alabama A&M                                                                                                                                                                                                                                                     ,Alabama A&M                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,7120,210
7302,Scott Machado                                                                                                                                                                                                                                                   ,Iona                                                                                                                                                                                                                                                            ,Iona                                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,7302,185
7517,Kyle O'Quinn                                                                                                                                                                                                                                                    ,Norfolk State                                                                                                                                                                                                                                                   ,Norfolk State                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,7517,208
7540,Kevin Murphy                                                                                                                                                                                                                                                    ,Tennessee Tech                                                                                                                                                                                                                                                  ,Tennessee Tech                                                                                                                                                                                                                                                  ,USA                                                                                                                                                                                                                                                             ,7540,198
7672,Nate Wolters                                                                                                                                                                                                                                                    ,South Dakota State                                                                                                                                                                                                                                              ,South Dakota State                                                                                                                                                                                                                                              ,USA                                                                                                                                                                                                                                                             ,7672,193
7674,Mike Muscala                                                                                                                                                                                                                                                    ,Bucknell                                                                                                                                                                                                                                                        ,Bucknell                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,7674,210
7718,Tony Mitchell                                                                                                                                                                                                                                                   ,North Texas                                                                                                                                                                                                                                                     ,North Texas                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,7718,203
7908,CJ McCollum                                                                                                                                                                                                                                                     ,Lehigh                                                                                                                                                                                                                                                          ,Lehigh                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,7908,193
7972,Jorge Gutierrez                                                                                                                                                                                                                                                 ,California-Berkeley                                                                                                                                                                                                                                             ,California-Berkeley                                                                                                                                                                                                                                             ,Mexico                                                                                                                                                                                                                                                          ,7972,190
8077,Ian Clark                                                                                                                                                                                                                                                       ,Belmont                                                                                                                                                                                                                                                         ,Belmont                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,8077,190
8762,Alex Stepheson                                                                                                                                                                                                                                                  ,USC                                                                                                                                                                                                                                                             ,USC                                                                                                                                                                                                                                                             ,USA                                                                                                                                                                                                                                                             ,8762,208
8883,RJ Hunter                                                                                                                                                                                                                                                       ,Georgia State                                                                                                                                                                                                                                                   ,Georgia State                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,8883,195
8888,Rashad Vaughn                                                                                                                                                                                                                                                   ,UNLV                                                                                                                                                                                                                                                            ,UNLV                                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,8888,198
9042,Luis Montero                                                                                                                                                                                                                                                    ,Westchester CC NY                                                                                                                                                                                                                                               ,Westchester CC NY                                                                                                                                                                                                                                               ,Dominican Republic                                                                                                                                                                                                                                              ,9042,200
9086,Maurice Ndour                                                                                                                                                                                                                                                   ,Ohio U.                                                                                                                                                                                                                                                         ,Ohio U.                                                                                                                                                                                                                                                         ,Senegal                                                                                                                                                                                                                                                         ,9086,205
9290,Sheldon Mac                                                                                                                                                                                                                                                     ,Miami (Fla.)                                                                                                                                                                                                                                                    ,Miami (Fla.)                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,9290,198
9569,Jameel Warney                                                                                                                                                                                                                                                   ,"Stony Brook, N.Y.                                                                                                                                                                                                                                               ","Stony Brook, N.Y.                                                                                                                                                                                                                                               ",USA                                                                                                                                                                                                                                                             ,9569,203
9572,James Ennis III                                                                                                                                                                                                                                                 ,Cal State-Long Beach                                                                                                                                                                                                                                            ,Cal State-Long Beach                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,9572,200
9589,Jaylen Morris                                                                                                                                                                                                                                                   ,Molloy                                                                                                                                                                                                                                                          ,Molloy                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,9589,195
9609,Ivan Rabb                                                                                                                                                                                                                                                       ,"University of California, Berkeley                                                                                                                                                                                                                              ","University of California, Berkeley                                                                                                                                                                                                                              ",USA                                                                                                                                                                                                                                                             ,9609,208
9614,JaKarr Sampson                                                                                                                                                                                                                                                  ,"St. John's, N.Y.                                                                                                                                                                                                                                                ","St. John's, N.Y.                                                                                                                                                                                                                                                ",USA                                                                                                                                                                                                                                                             ,9614,205
9629,Josh Magette                                                                                                                                                                                                                                                    ,Alabama Huntsville                                                                                                                                                                                                                                              ,Alabama Huntsville                                                                                                                                                                                                                                              ,USA                                                                                                                                                                                                                                                             ,9629,185
9671,John Holland                                                                                                                                                                                                                                                    ,Boston U.                                                                                                                                                                                                                                                       ,Boston U.                                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,9671,195
9704,Davon Reed                                                                                                                                                                                                                                                      ,Miami                                                                                                                                                                                                                                                           ,Miami                                                                                                                                                                                                                                                           ,USA                                                                                                                                                                                                                                                             ,9704,198
9727,Charles Cooke                                                                                                                                                                                                                                                   ,University of Dayton                                                                                                                                                                                                                                            ,University of Dayton                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,9727,195
9747,Elfrid Payton                                                                                                                                                                                                                                                   ,Louisana-Lafayette                                                                                                                                                                                                                                              ,Louisana-Lafayette                                                                                                                                                                                                                                              ,USA                                                                                                                                                                                                                                                             ,9747,193
9750,Enes Kanter                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,9750,210
9808,Shabazz Muhammad                                                                                                                                                                                                                                                ,California-Los Angeles                                                                                                                                                                                                                                          ,California-Los Angeles                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,9808,198
